Model_ID,Brand,Model_Title,Device,Model_Price,Field_ID,Field_Title,Field_Item_ID,Field_Item_Title,Field_Item_Price
1,lenovo,"iPhone X",iPhone,10000,1606,"battery replacement",4533,"Option 1",15
,,,,,,,4534,"option 2",20
,,,,,,,4535,"option 3",25
,,,,,1607,"iPhone X Repair Options",4536,"Front Display Screen Replacement",355
,,,,,,,4537,"Battery Replacement",199
,,,,,,,4538,"Multiple Issues",0
,,,,,,,4539,"Water Damage Diagnose",0
,,,,,,,4540,dfsdfsd,12
,,,,,,,4541,"Back Glass Replacement",499
,,,,,1608,Checkboxes,4542,"Option 1",10
,,,,,,,4543,"Option 2",15
,,,,,,,4544,"Option 3",20
,,,,,1609,"What color is your iPhone X?",4545,Gold,0
,,,,,,,4546,Silver,0
,,,,,,,4547,"Space Grey",0
,,,,,1610,Text,,,
,,,,,1611,"Text Area",,,
,,,,,1612,"radio 2",4548,"Option 1",2
,,,,,,,4549,"Option 2",3
,,,,,1613,drodown,4550,"test 1",20.5
,,,,,,,4551,"test 2",60.69
,,,,,1614,"When You bought this phone",,,
,,,,,1615,"Test 2",4552,"Opt 1",0
,,,,,,,4553,"Opt 2",0
,,,,,,,4554,"Opt 3",0
,,,,,1616,"Test 1",4555,"Opt 1",0
,,,,,,,4556,"Opt 2",0
,,,,,1617,condition,4557,dead,0
20,Apple,"iPhone 8 Plus A1864 A1897 A1898",iPhone,100,529,"iPhone 8+ repair",1918,"Screen broken and/or LCD defective",99
,,,,,,,1919,"Replace backcover",99
,,,,,,,1920,"Replace dock connector (charge/microphone)",99
,,,,,,,1921,"Replace earspeaker",99
,,,,,,,1922,"Replace speaker",99
,,,,,,,1923,"Replace home button",99
,,,,,,,1924,"Replace button (power, volume, mute)",99
,,,,,,,1925,"Replace camera front",99
,,,,,,,1926,"Replace camera back",99
,,,,,,,1927,"Replace vibration motor",99
,,,,,,,1928,"Replace battery",99
,,,,,530,"What color is your iPhone 8+?",1929,"Space Grey",0
,,,,,,,1930,Silver,0
,,,,,,,1931,Gold,0
21,Samsung,"Galaxy S8+","Galaxy S Series",0,531,"Selection One Option",1932,"Screen broken and/or LCD defective",3900
,,,,,,,1933,"Replace backcover",8500
,,,,,,,1934,"Replace front camera",8500
,,,,,,,1935,"Replace back camera",8500
,,,,,,,1936,"Replace earspeaker",8500
,,,,,,,1937,"Replace speaker",8500
,,,,,,,1938,"Replace fingerprintscanner",8500
,,,,,,,1939,"Replace powerbutton",8500
,,,,,,,1940,"Replace volumebuttons",8500
,,,,,,,1941,"Replace vibration motor",8500
,,,,,,,1942,"Replace audiojack",8500
,,,,,,,1943,"Replace charging port	",8500
,,,,,,,1944,"Replace battery",8500
,,,,,532,"select multiple option",1945,"Option 1",12
,,,,,,,1946,"Option 2",14
,,,,,,,1947,"Option 3",16
,,,,,533,"This is drop down",1948,"Option 1",12
,,,,,,,1949,"Option 2",15
22,Apple,"iPad Pro 10.5",iPad,0,534,"iPhone X Repair Options",1950,"Front Display Screen Replacement",399
,,,,,,,1951,"Back Glass Replacement",499
,,,,,,,1952,"Battery Replacement",199
,,,,,,,1953,"Multiple Issues",0
,,,,,,,1954,"Water Damage Diagnose",0
,,,,,535,"What color is your iPhone X?",1955,Gold,0
,,,,,,,1956,Silver,0
,,,,,,,1957,"Space Grey",0
23,Apple,"iPad Pro 12.9",iPad,0,1324,"iPhone X Repair Options",3831,"Front Display Screen Replacement",399
,,,,,,,3832,"Back Glass Replacement",499
,,,,,,,3833,"Battery Replacement",199
,,,,,,,3834,"Multiple Issues",0
,,,,,,,3835,"Water Damage Diagnose",0
,,,,,1325,"What color is your iPhone X?",3836,Gold,0
,,,,,,,3837,Silver,0
,,,,,,,3838,"Space Grey",0
24,Apple,"iPad 4",iPad,0,538,"iPad 4 repair",1966,"Screen broken or touch defective",9900
,,,,,,,1967,"Replace LCD",12900
,,,,,,,1968,"Replace back cover",14000
,,,,,,,1969,Microphone,9900
,,,,,,,1970,Speaker,9900
,,,,,,,1971,"Wifi reception",9900
,,,,,,,1972,"Audio jack",9900
,,,,,,,1973,"Dock connector (charge)",9900
,,,,,,,1974,"Replace button (power, home, volume, mute)",9900
,,,,,,,1975,"Replace camera front",9900
,,,,,,,1976,"Replace camera back",9900
,,,,,,,1977,"Replace battery",9900
25,Apple,"iPhone 8",iPhone,0,1654,"Please selec Repair Option",4595,glass,10
,,,,,,,4596,Touchscreen,10
,,,,,,,4597,Speaker,10
,,,,,,,4598,camera,10
,,,,,,,4599,"after water damage",10
,,,,,,,4600,"device (delete)",10
,,,,,,,4601,"Diagnosis: Water damage",
,,,,,,,4602,LCD,10
,,,,,,,4603,"Backcover / back",10
,,,,,,,4604,Battery,20
,,,,,,,4605,"On / off switch",10
,,,,,,,4606,Cleaning,1
,,,,,,,4607,"Data Backup",10
,,,,,,,4608,"Diagnosis: General",10
,,,,,,,4609,"Report for insurance",10
26,Apple,"iPhone 7 Plus",iPhone,0,1561,"iPhone X Repair Options",4440,"Front Display Screen Replacement",399
,,,,,,,4441,"Back Glass Replacement",499
,,,,,,,4442,"Battery Replacement",199
,,,,,,,4443,"Multiple Issues",0
,,,,,,,4444,"Water Damage Diagnose",0
,,,,,1562,"What color is your iPhone X?",4445,Gold,0
,,,,,,,4446,Silver,0
,,,,,,,4447,"Space Grey",0
27,Apple,"iPhone 7",iPhone,0,1557,"iPhone X Repair Options",4424,"Front Display Screen Replacement",399
,,,,,,,4425,"Back Glass Replacement",499
,,,,,,,4426,"Battery Replacement",199
,,,,,,,4427,"Multiple Issues",0
,,,,,,,4428,"Water Damage Diagnose",0
,,,,,1558,"What color is your iPhone X?",4429,Gold,0
,,,,,,,4430,Silver,0
,,,,,,,4431,"Space Grey",0
28,Apple,"iPhone 6S Plus",iPhone,0,1386,"iPhone X Repair Options",3977,"Front Display Screen Replacement",399
,,,,,,,3978,"Back Glass Replacement",499
,,,,,,,3979,"Battery Replacement",199
,,,,,,,3980,"Multiple Issues",0
,,,,,,,3981,"Water Damage Diagnose",0
,,,,,1387,"What color is your iPhone X?",3982,Gold,0
,,,,,,,3983,Silver,0
,,,,,,,3984,"Space Grey",0
29,Apple,"iPhone 6S",iPhone,0,1388,"iPhone X Repair Options",3985,"Front Display Screen Replacement",399
,,,,,,,3986,"Back Glass Replacement",499
,,,,,,,3987,"Battery Replacement",199
,,,,,,,3988,"Multiple Issues",0
,,,,,,,3989,"Water Damage Diagnose",0
,,,,,1389,"What color is your iPhone X?",3990,Gold,0
,,,,,,,3991,Silver,0
,,,,,,,3992,"Space Grey",0
30,Apple,"iPhone 6",iPhone,0,1390,"iPhone X Repair Options",3993,"Front Display Screen Replacement",399
,,,,,,,3994,"Back Glass Replacement",499
,,,,,,,3995,"Battery Replacement",199
,,,,,,,3996,"Multiple Issues",0
,,,,,,,3997,"Water Damage Diagnose",0
,,,,,1391,"What color is your iPhone X?",3998,Gold,0
,,,,,,,3999,Silver,0
,,,,,,,4000,"Space Grey",0
31,Apple,"iPhone 6 Plus",iPhone,0,1396,"iPhone X Repair Options",4013,"Front Display Screen Replacement",399
,,,,,,,4014,"Back Glass Replacement",499
,,,,,,,4015,"Battery Replacement",199
,,,,,,,4016,"Multiple Issues",0
,,,,,,,4017,"Water Damage Diagnose",0
,,,,,1397,"What color is your iPhone X?",4018,Gold,0
,,,,,,,4019,Silver,0
,,,,,,,4020,"Space Grey",0
,,,,,1398,Checkboxes,4021,"Option 1",10
,,,,,,,4022,"Option 2",20
,,,,,1399,Radio,4023,"Option 1",10
,,,,,,,4024,"Option 2",20
32,Apple,"iPhone 5SE",iPhone,0,1400,"iPhone X Repair Options",4025,"Front Display Screen Replacement",399
,,,,,,,4026,"Back Glass Replacement",499
,,,,,,,4027,"Battery Replacement",199
,,,,,,,4028,"Multiple Issues",0
,,,,,,,4029,"Water Damage Diagnose",0
,,,,,1401,"What color is your iPhone X?",4030,Gold,0
,,,,,,,4031,Silver,0
,,,,,,,4032,"Space Grey",0
33,Apple,"iPhone 5S Repair",iPhone,0,1402,"iPhone X Repair Options",4033,"Front Display Screen Replacement",399
,,,,,,,4034,"Back Glass Replacement",499
,,,,,,,4035,"Battery Replacement",199
,,,,,,,4036,"Multiple Issues",0
,,,,,,,4037,"Water Damage Diagnose",0
,,,,,1403,"What color is your iPhone X?",4038,Gold,0
,,,,,,,4039,Silver,0
,,,,,,,4040,"Space Grey",0
34,Apple,"iPhone 5C",iPhone,0,1404,"iPhone X Repair Options",4041,"Front Display Screen Replacement",399
,,,,,,,4042,"Back Glass Replacement",499
,,,,,,,4043,"Battery Replacement",199
,,,,,,,4044,"Multiple Issues",0
,,,,,,,4045,"Water Damage Diagnose",0
,,,,,1405,"What color is your iPhone X?",4046,Gold,0
,,,,,,,4047,Silver,0
,,,,,,,4048,"Space Grey",0
35,Apple,"iPhone 5",iPhone,0,1408,"iPhone X Repair Options",4057,"Front Display Screen Replacement",399
,,,,,,,4058,"Back Glass Replacement",499
,,,,,,,4059,"Battery Replacement",199
,,,,,,,4060,"Multiple Issues",0
,,,,,,,4061,"Water Damage Diagnose",0
,,,,,1409,"What color is your iPhone X?",4062,Gold,0
,,,,,,,4063,Silver,0
,,,,,,,4064,"Space Grey",0
36,Apple,"iPhone 4S Title",iPhone,0,1620,"iPhone X Repair Options",4566,"Front Display Screen Replacement",399
,,,,,,,4567,"Back Glass Replacement",499
,,,,,,,4568,"Battery Replacement",199
,,,,,,,4569,"Multiple Issues",0
,,,,,,,4570,"Water Damage Diagnose",0
,,,,,1621,"What color is your iPhone X?",4571,Gold,0
,,,,,,,4572,Silver,0
,,,,,,,4573,"Space Grey",0
37,Samsung,"Samsng S8 Plus","Galaxy S Series",0,1412,"iPhone X Repair Options",4073,"Front Display Screen Replacement",399
,,,,,,,4074,"Back Glass Replacement",499
,,,,,,,4075,"Battery Replacement",199
,,,,,,,4076,"Multiple Issues",0
,,,,,,,4077,"Water Damage Diagnose",0
,,,,,1413,"What color is your iPhone X?",4078,Gold,0
,,,,,,,4079,Silver,0
,,,,,,,4080,"Space Grey",0
38,Samsung,"Samsung S8","Galaxy S Series",0,1414,"iPhone X Repair Options",4081,"Front Display Screen Replacement",399
,,,,,,,4082,"Back Glass Replacement",499
,,,,,,,4083,"Battery Replacement",199
,,,,,,,4084,"Multiple Issues",0
,,,,,,,4085,"Water Damage Diagnose",0
,,,,,1415,"What color is your iPhone X?",4086,Gold,0
,,,,,,,4087,Silver,0
