Model_ID,Brand,Model_Title,Device,Model_Price,Field_ID,Field_Title,Field_Item_ID,Field_Item_Title,Field_Item_Price
1,lenovo,"iPhone X",iPhone,10000,1841,"battery replacement",5121,"Option 1",15
,,,,,,,5122,"option 2",20
,,,,,,,5123,"option 3",25
,,,,,1842,"iPhone X Repair Options",5124,"Front Display Screen Replacement",355
,,,,,,,5125,"Battery Replacement",199
,,,,,,,5126,"Multiple Issues",0
,,,,,,,5127,"Water Damage Diagnose",0
,,,,,,,5128,dfsdfsd,12
,,,,,,,5129,"Back Glass Replacement",499
,,,,,1843,Checkboxes,5130,"Option A",10
,,,,,,,5131,"Option B",15
,,,,,,,5132,"Option C",20
,,,,,1844,"What color is your iPhone X?",5133,Gold,0
,,,,,,,5134,Silver,0
,,,,,,,5135,"Space Grey",0
,,,,,1845,Text,,,
,,,,,1846,"Text Area",,,
,,,,,1847,"Photo ID1",,,
,,,,,1848,"Photo ID2",,,
,,,,,1849,"When You bought this phone",,,
20,Apple,"iPhone 8 Plus A1864 A1897 A1898",iPhone,100,1944,"iPhone 8+ repair",5470,"Screen broken and/or LCD defective",99
,,,,,,,5471,"Replace backcover",99
,,,,,,,5472,"Replace dock connector (charge/microphone)",99
,,,,,,,5473,"Replace earspeaker",99
,,,,,,,5474,"Replace speaker",99
,,,,,,,5475,"Replace home button",99
,,,,,,,5476,"Replace button (power, volume, mute)",99
,,,,,,,5477,"Replace camera front",99
,,,,,,,5478,"Replace camera back",99
,,,,,,,5479,"Replace vibration motor",99
,,,,,,,5480,"Replace battery",99
,,,,,1945,"What color is your iPhone 8+?",5481,"Space Grey",0
,,,,,,,5482,Silver,0
,,,,,,,5483,Gold,0
21,Samsung,"Galaxy S8+","Galaxy S Series",0,1960,"Selection One Option",5526,"Screen broken and/or LCD defective",3900
,,,,,,,5527,"Replace backcover",8500
,,,,,,,5528,"Replace front camera",8500
,,,,,,,5529,"Replace back camera",8500
,,,,,,,5530,"Replace earspeaker",8500
,,,,,,,5531,"Replace speaker",8500
,,,,,,,5532,"Replace fingerprintscanner",8500
,,,,,,,5533,"Replace powerbutton",8500
,,,,,,,5534,"Replace volumebuttons",8500
,,,,,,,5535,"Replace vibration motor",8500
,,,,,,,5536,"Replace audiojack",8500
,,,,,,,5537,"Replace charging port	",8500
,,,,,,,5538,"Replace battery",8500
,,,,,1961,"select multiple option",5539,"Option 1",12
,,,,,,,5540,"Option 2",14
,,,,,,,5541,"Option 3",16
,,,,,1962,"This is drop down",5542,"Option 1",12
,,,,,,,5543,"Option 2",15
22,Apple,"iPad Pro 10.5",iPad,0,1926,"iPhone X Repair Options",5404,"Front Display Screen Replacement",399
,,,,,,,5405,"Back Glass Replacement",499
,,,,,,,5406,"Battery Replacement",199
,,,,,,,5407,"Multiple Issues",0
,,,,,,,5408,"Water Damage Diagnose",0
,,,,,1927,"What color is your iPhone X?",5409,Gold,0
,,,,,,,5410,Silver,0
,,,,,,,5411,"Space Grey",0
23,Apple,"iPad Pro 12.9",iPad,0,1928,"iPhone X Repair Options",5412,"Front Display Screen Replacement",399
,,,,,,,5413,"Back Glass Replacement",499
,,,,,,,5414,"Battery Replacement",199
,,,,,,,5415,"Multiple Issues",0
,,,,,,,5416,"Water Damage Diagnose",0
,,,,,1929,"What color is your iPhone X?",5417,Gold,0
,,,,,,,5418,Silver,0
,,,,,,,5419,"Space Grey",0
24,Apple,"iPad 4",iPad,0,1913,"iPad 4 repair",5352,"Screen broken or touch defective",9900
,,,,,,,5353,"Replace LCD",12900
,,,,,,,5354,"Replace back cover",14000
,,,,,,,5355,Microphone,9900
,,,,,,,5356,Speaker,9900
,,,,,,,5357,"Wifi reception",9900
,,,,,,,5358,"Audio jack",9900
,,,,,,,5359,"Dock connector (charge)",9900
,,,,,,,5360,"Replace button (power, home, volume, mute)",9900
,,,,,,,5361,"Replace camera front",9900
,,,,,,,5362,"Replace camera back",9900
,,,,,,,5363,"Replace battery",9900
25,Apple,"iPhone 8",iPhone,0,1850,"Please selec Repair Option",5136,glass,10
,,,,,,,5137,Touchscreen,10
,,,,,,,5138,Speaker,10
,,,,,,,5139,camera,10
,,,,,,,5140,"after water damage",10
,,,,,,,5141,"device (delete)",10
,,,,,,,5142,"Diagnosis: Water damage",
,,,,,,,5143,LCD,10
,,,,,,,5144,"Backcover / back",10
,,,,,,,5145,Battery,20
,,,,,,,5146,"On / off switch",10
,,,,,,,5147,Cleaning,1
,,,,,,,5148,"Data Backup",10
,,,,,,,5149,"Diagnosis: General",10
,,,,,,,5150,"Report for insurance",10
,,,,,1851,Radio,5151,"Option 1",5
,,,,,,,5152,"Option 2",10
,,,,,1852,DropDown,5153,"Option 1",2
,,,,,,,5154,"Option 2",4
,,,,,1853,"Text field",,,
,,,,,1854,"Text Area",,,
,,,,,1855,Date,,,
,,,,,1856,"Upload Docs",,,
26,Apple,"iPhone 7 Plus",iPhone,0,1857,"iPhone X Repair Options",5155,"Front Display Screen Replacement",399
,,,,,,,5156,"Back Glass Replacement",499
,,,,,,,5157,"Battery Replacement",199
,,,,,,,5158,"Multiple Issues",0
,,,,,,,5159,"Water Damage Diagnose",0
,,,,,1858,"What color is your iPhone X?",5160,Gold,0
,,,,,,,5161,Silver,0
,,,,,,,5162,"Space Grey",0
27,Apple,"iPhone 7",iPhone,0,1839,"iPhone X Repair Options",5113,"Front Display Screen Replacement",399
,,,,,,,5114,"Back Glass Replacement",499
,,,,,,,5115,"Battery Replacement",199
,,,,,,,5116,"Multiple Issues",0
,,,,,,,5117,"Water Damage Diagnose",0
,,,,,1840,"What color is your iPhone X?",5118,Gold,0
,,,,,,,5119,Silver,0
,,,,,,,5120,"Space Grey",0
28,Apple,"iPhone 6S Plus",iPhone,0,1867,"iPhone X Repair Options",5191,"Front Display Screen Replacement",399
,,,,,,,5192,"Back Glass Replacement",499
,,,,,,,5193,"Battery Replacement",199
,,,,,,,5194,"Multiple Issues",0
,,,,,,,5195,"Water Damage Diagnose",0
,,,,,1868,"What color is your iPhone X?",5196,Gold,0
,,,,,,,5197,Silver,0
,,,,,,,5198,"Space Grey",0
29,Apple,"iPhone 6S",iPhone,0,1865,"iPhone X Repair Options",5183,"Front Display Screen Replacement",399
,,,,,,,5184,"Back Glass Replacement",499
,,,,,,,5185,"Battery Replacement",199
,,,,,,,5186,"Multiple Issues",0
,,,,,,,5187,"Water Damage Diagnose",0
,,,,,1866,"What color is your iPhone X?",5188,Gold,0
,,,,,,,5189,Silver,0
,,,,,,,5190,"Space Grey",0
30,Apple,"iPhone 6",iPhone,0,1859,"iPhone X Repair Options",5163,"Front Display Screen Replacement",399
,,,,,,,5164,"Back Glass Replacement",499
