Model_ID,Title,Sef_Url,Meta_Title,Meta_Keywords,Meta_Description,Meta_Canonical_URL
1,"iPhone X",repair-my-iphone,"iPhone X","iPhone X","iPhone X A1865 A1901 A1902",
20,"iPhone 8 Plus A1864 A1897 A1898",repair-my-iphone,"iPhone 8 Plus Repair","iPhone 8+ repair, iPhone 8 Plus Repair, keywords","iPhone 8 Plus Repair
metadesc",
21,"Galaxy S8+",repair-my-galaxy,"Galaxy S8+","Galaxy S8+","Galaxy S8+",
22,"iPad Pro 10.5",repair-my-ipad,"iPad Pro 10.5","iPad Pro 10.5"" (2017)","iPad Pro 10.5"" (2017)",
23,"iPad Pro 12.9",repair-my-ipad,"iPad Pro 12.9","iPad Pro 12.9""","iPad Pro 12.9""",
24,"iPad 4",repair-my-ipad,"iPad 4","iPad 4","iPad 4",
25,"iPhone 8",repair-my-iphone,"iPhone 8 Repair","iPhone 8 Repair","iPhone 8 Repair",
26,"iPhone 7 Plus",repair-my-iphone,"iPhone 7 Plus Repair","iPhone 7 Plus Repair","iPhone 7 Plus Repair",
27,"iPhone 7",repair-my-iphone,"iPhone 7 Repair","iPhone 7 Repair","iPhone 7 Repair",
28,"iPhone 6S Plus",repair-my-iphone,"iPhone 6S Plus Repair","iPhone 6S Plus Repair","iPhone 6S Plus Repair",
29,"iPhone 6S",repair-my-iphone,"Phone 6S Repair","iPhone 6S Repair","iPhone 6S Repair",
30,"iPhone 6",repair-my-iphone,"iPhone 6 Repair","iPhone 6 Repair","iPhone 6 Repair",
31,"iPhone 6 Plus",repair-my-iphone,"iPhone 6 Plus Repair","iPhone 6 Plus Repair","iPhone 6 Plus Repair",
32,"iPhone 5SE",repair-my-iphone,"iPhone 5 SE Repair","iPhone 5 SE Repair","iPhone 5 SE Repair",
33,"iPhone 5S Repair",repair-my-iphone,"iPhone 5S Repair","iPhone 5S Repair","iPhone 5S Repair",
34,"iPhone 5C",repair-my-iphone,"iPhone 5C Repair","iPhone 5C Repair","iPhone 5C Repair",
35,"iPhone 5",repair-my-iphone,"iPhone 5 Repair","iPhone 5 Repair","iPhone 5 Repair",
36,"iPhone 4S Title",repair-my-iphone,"iPhone 4S Repair","iPhone 4S Repair","iPhone 4S Repair",
37,"Samsung S8 Plus",repair-my-galaxy,"Samsung Galaxy S8 Plus Repair","Samsung Galaxy S8 Plus Repair","Samsung Galaxy S8 Plus Repair",
38,"Samsung S8",repair-my-ipad,"Samsung S8 Repair","Samsung S8 Repair","Samsung S8 Repair",
39,"Samsung S7 Edge",repair-my-galaxy,"Samsung S7 Edge Repair","Samsung S7 Edge Repair","Samsung S7 Edge Repair",
40,"Samsung S7",repair-my-galaxy,"Samsung S7 Repair","Samsung S7 Repair","Samsung S7 Repair",
41,"Samsung S6 Edge Plus",repair-my-galaxy,"Samsung S6 Edge Plus Repair","Samsung S6 Edge Plus Repair","Samsung S6 Edge Plus Repair",
42,"Samsung S6 Edge",repair-my-galaxy,"Samsung S6 Edge Repair","Samsung S6 Edge Repair","Samsung S6 Edge Repair",
43,"Samsung S5",repair-my-galaxy,"Samsung S5 Repair","Samsung S5 Repair","Samsung S5 Repair",
44,"Samsung Note 8",repair-my-note,"Samsung Note 8 Repair","Samsung Note 8 Repair","Samsung Note 8 Repair",
45,"Samsung Note 5",repair-my-note,"Samsung Note 5 Repair","Samsung Note 5 Repair","Samsung Note 5 Repair",
46,"Samsung Note 4",repair-my-note,"Samsung Note 4 Repair","Samsung Note 4 Repair","Samsung Note 4 Repair",
47,"Samsung Note 3",repair-my-note,"Samsung Note 3 Repair","Samsung Note 3 Repair","Samsung Note 3 Repair",
48,"iPad Air 2",repair-my-ipad,"iPad Air 2 Repair","iPad Air 2 Repair","iPad Air 2 Repair",
49,"Ipad Test Demo",repair-my-ipad,"iPad Air Repair","iPad Air Repair","iPad Air Repair",
50,"iPad Mini 4G",ipad-mini-repair,"iPad Mini 4G Repiar","iPad Mini 4G Repiar","iPad Mini 4G Repiar",
51,"iPad Mini 3G",ipad-mini-repair,"iPad Mini 3G Repairs","iPad Mini 3G Repairs","iPad Mini 3G Repairs",
52,"iPad Mini 2G",ipad-mini-repair,"iPad Mini 2G Repair","iPad Mini 2G Repair","iPad Mini 2G Repair",
53,"iPad Mini 1G",ipad-mini-repair,"iPad Mini 1G Repair","iPad Mini 1G Repair","iPad Mini 1G Repair",
54,"LG G6 Repair",lg-phone-repair-near-me,"LG G6 Repair","LG G6 Repair","LG G6 Repair",
55,"LG G5",lg-phone-repair-near-me,"LG G5 Repair","LG G5 Repair","LG G5 Repair",
56,"LG G4 Repair",lg-phone-repair-near-me,"LG G4 Repair","LG G4 Repair","LG G4 Repair",
57,"LG G3 Repair",lg-phone-repair-near-me,"LG G3 Repair","LG G3 Repair","LG G3 Repair",
58,"LG G2 Repair",lg-phone-repair-near-me,"LG G2 Repair","LG G2 Repair","LG G2 Repair",
59,"Samsung 59 cm (24 inch) HD Ready LED TV  (24K4100)",samsung-tv,"Samsung 59","Samsung 59","Samsung 59",
60,"LG 80 cm (32 inch) HD Ready LED Smart TV  (KLV-32W512D)",repair-my-galaxy,"LG 80 cm (32 inch) HD Ready LED Smart TV  (KLV-32W512D)","LG 80 cm (32 inch) HD Ready LED Smart TV  (KLV-32W512D)","LG 80 cm (32 inch) HD Ready LED Smart TV  (KLV-32W512D)",
62,samsung,repair-my-galaxy,,,,
86,"iPhone X - Copy",repair-my-iphone,"iPhone X","iPhone X","iPhone X A1865 A1901 A1902",
88,"Apple iPhone 11 Pro",repair-my-iphone,,,,
89,"iPhone X - Copy",repair-my-iphone,"iPhone X","iPhone X","iPhone X A1865 A1901 A1902",
