Model_ID,Model_Title,Device,fault_id,fault_name,regular_price,is_on_offer,sale_price,offer_start_date,offer_end_date,status
137,"iPad Mini 3 Repair","iPad Repair",2039,"Front Glass Repair ",79.99,No,79.99,,,Published
137,"iPad Mini 3 Repair","iPad Repair",2040,"Battery Repair ",57.99,No,57.99,,,Published
137,"iPad Mini 3 Repair","iPad Repair",2041,"Charging Port Repair ",89.99,No,89.99,,,Published
137,"iPad Mini 3 Repair","iPad Repair",2042,"Diagnostic Service ",39.99,No,39.99,,,Published
137,"iPad Mini 3 Repair","iPad Repair",2043,"Front Camera Repair ",57.99,No,57.99,,,Published
137,"iPad Mini 3 Repair","iPad Repair",2044,"Headphone Socket Repair ",59.99,No,59.99,,,Published
137,"iPad Mini 3 Repair","iPad Repair",2045,"Home Button Repair ",59.99,No,59.99,,,Published
137,"iPad Mini 3 Repair","iPad Repair",2046,"LCD Repair ",74.99,No,74.99,,,Published
137,"iPad Mini 3 Repair","iPad Repair",2047,"Liquid Damage Service ",74.99,No,74.99,,,Published
137,"iPad Mini 3 Repair","iPad Repair",2048,"Loudspeaker Repair ",63.99,No,63.99,,,Published
137,"iPad Mini 3 Repair","iPad Repair",2049,"Microphone Repair ",63.99,No,63.99,,,Published
137,"iPad Mini 3 Repair","iPad Repair",2050,"Mute Button Repair ",59.99,No,59.99,,,Published
137,"iPad Mini 3 Repair","iPad Repair",2051,"Power Button Repair ",59.99,No,59.99,,,Published
137,"iPad Mini 3 Repair","iPad Repair",2052,"Rear Camera Repair ",63.99,No,63.99,,,Published
137,"iPad Mini 3 Repair","iPad Repair",2053,"Volume Repair ",59.99,No,59.99,,,Published
140,"iPad Mini 2019 Repairs","iPad Repair",2094,"Front Screen Repair ",369.99,No,369.99,,,Published
140,"iPad Mini 2019 Repairs","iPad Repair",2095,"Battery Repair ",169.99,No,169.99,,,Published
140,"iPad Mini 2019 Repairs","iPad Repair",2096,"Charging Port Repair ",199.99,No,199.99,,,Published
140,"iPad Mini 2019 Repairs","iPad Repair",2097,"Diagnostic Service ",39.99,No,39.99,,,Published
140,"iPad Mini 2019 Repairs","iPad Repair",2098,"Front Camera Repair ",169.99,No,169.99,,,Published
140,"iPad Mini 2019 Repairs","iPad Repair",2099,"Headphone Socket Repair ",169.99,No,169.99,,,Published
140,"iPad Mini 2019 Repairs","iPad Repair",2100,"Liquid Damage Service ",89.99,No,89.99,,,Published
140,"iPad Mini 2019 Repairs","iPad Repair",2101,"Loudspeaker Repair ",169.99,No,169.99,,,Published
140,"iPad Mini 2019 Repairs","iPad Repair",2102,"Microphone Repair ",169.99,No,169.99,,,Published
140,"iPad Mini 2019 Repairs","iPad Repair",2103,"Mute Button Repair ",169.99,No,169.99,,,Published
140,"iPad Mini 2019 Repairs","iPad Repair",2104,"Power Button Repair ",169.99,No,169.99,,,Published
140,"iPad Mini 2019 Repairs","iPad Repair",2105,"Rear Camera Repair ",169.99,No,169.99,,,Published
140,"iPad Mini 2019 Repairs","iPad Repair",2106,"Rear Cover Repair ",169.99,No,169.99,,,Published
140,"iPad Mini 2019 Repairs","iPad Repair",2107,"Volume Repair ",169.99,No,169.99,,,Published
141,"iPad Mini 4 Repair","iPad Repair",2108,"Front Screen Repair ",149.99,No,149.99,,,Published
141,"iPad Mini 4 Repair","iPad Repair",2109,"Battery Repair ",64.99,No,64.99,,,Published
141,"iPad Mini 4 Repair","iPad Repair",2110,"Charging Port Repair ",169.99,No,169.99,,,Published
141,"iPad Mini 4 Repair","iPad Repair",2111,"Diagnostic Service ",39.99,No,39.99,,,Published
141,"iPad Mini 4 Repair","iPad Repair",2112,"Front Camera Repair ",63.99,No,63.99,,,Published
141,"iPad Mini 4 Repair","iPad Repair",2113,"Headphone Socket Repair ",59.99,No,59.99,,,Published
141,"iPad Mini 4 Repair","iPad Repair",2114,"Liquid Damage Service ",89.99,No,89.99,,,Published
141,"iPad Mini 4 Repair","iPad Repair",2115,"Loudspeaker Repair ",63.99,No,63.99,,,Published
141,"iPad Mini 4 Repair","iPad Repair",2116,"Microphone Repair ",63.99,No,63.99,,,Published
141,"iPad Mini 4 Repair","iPad Repair",2117,"Mute Button Repair ",59.99,No,59.99,,,Published
141,"iPad Mini 4 Repair","iPad Repair",2118,"Power Button Repair ",54.99,No,54.99,,,Published
141,"iPad Mini 4 Repair","iPad Repair",2119,"Rear Camera Repair ",69.99,No,69.99,,,Published
141,"iPad Mini 4 Repair","iPad Repair",2120,"Volume Repair ",63.99,No,63.99,,,Published
142,"iPad Pro 11"" (2018) Repair","iPad Repair",2121,"Front Screen Repair ",399.99,No,399.99,,,Published
142,"iPad Pro 11"" (2018) Repair","iPad Repair",2122,"Battery Repair ",299.99,No,299.99,,,Published
142,"iPad Pro 11"" (2018) Repair","iPad Repair",2123,"Charging Port Repair ",299.99,No,299.99,,,Published
142,"iPad Pro 11"" (2018) Repair","iPad Repair",2124,"Diagnostic Service ",39.99,No,39.99,,,Published
142,"iPad Pro 11"" (2018) Repair","iPad Repair",2125,"Front Camera Repair ",299.99,No,299.99,,,Published
142,"iPad Pro 11"" (2018) Repair","iPad Repair",2126,"Headphone Socket Repair ",299.99,No,299.99,,,Published
142,"iPad Pro 11"" (2018) Repair","iPad Repair",2127,"Liquid Damage Service ",299.99,No,299.99,,,Published
142,"iPad Pro 11"" (2018) Repair","iPad Repair",2128,"Loudspeaker Repair ",299.99,No,299.99,,,Published
142,"iPad Pro 11"" (2018) Repair","iPad Repair",2129,"Microphone Repair ",299.99,No,299.99,,,Published
142,"iPad Pro 11"" (2018) Repair","iPad Repair",2130,"Mute Button Repair ",299.99,No,299.99,,,Published
142,"iPad Pro 11"" (2018) Repair","iPad Repair",2131,"Power Button Repair ",299.99,No,299.99,,,Published
142,"iPad Pro 11"" (2018) Repair","iPad Repair",2132,"Rear Camera Repair ",299.99,No,299.99,,,Published
142,"iPad Pro 11"" (2018) Repair","iPad Repair",2133,"Volume Repair ",299.99,No,299.99,,,Published
144,"iPad Pro 10.5 Repair","iPad Repair",2150,"Battery Repair ",119.99,No,119.99,,,Published
144,"iPad Pro 10.5 Repair","iPad Repair",2151,"Charging Port Repair ",469.99,No,469.99,,,Published
144,"iPad Pro 10.5 Repair","iPad Repair",2152,"Diagnostic Service ",39.99,No,39.99,,,Published
144,"iPad Pro 10.5 Repair","iPad Repair",2153,"Front Camera Repair ",119.99,No,119.99,,,Published
144,"iPad Pro 10.5 Repair","iPad Repair",2154,"Headphone Socket Repair ",119.99,No,119.99,,,Published
