ID,Icon,Title,"Base Price","Added Date"
1,20180322211601.png,"iPhone X - A1865 A1901 A1902",10000,"2018-02-14 07:28:26"
20,20180315195741.png,"iPhone 8 Plus A1864 A1897 A1898",100,"2018-02-17 03:20:16"
21,20180217044811.png,"Galaxy S8+",0,"2018-02-17 03:48:11"
22,20180217061307.png,"iPad Pro 10.5",0,"2018-02-17 05:13:07"
23,20180217061542.png,"iPad Pro 12.9",0,"2018-02-17 05:15:42"
24,20180217061646.png,"iPad 4",0,"2018-02-17 05:16:46"
25,20180319165547.png,"iPhone 8 A1863 A1905 A1906",0,"2018-03-19 16:55:47"
26,20180319165801.png,"iPhone 7 Plus A1661 A1784 A1785",0,"2018-03-19 16:58:01"
27,20180319165912.png,"iPhone 7 A1660 A1778 A1779",0,"2018-03-19 16:59:12"
28,20180319170018.png,"iPhone 6S Plus A1634 A1687 A1699",0,"2018-03-19 17:00:18"
